Marital,Mode,Order,Course,Attendance,Qualification,Nationality,Mother-Q,Father-Q,Mother-O,Father-O,Displaced,Need,Debtor,Fee,Gender,Scholarship,Age,1st,2nd,Unemployment,Inflation,GDP,Target
1 ,15 ,1 ,4 ,1 ,14 ,1 ,13 ,27 ,10 ,10 ,1 ,0 ,0 ,1 ,1 ,0 ,23 ,6 ,6 ,8.9 ,1.4 ,3.51 ,1 
1 ,1 ,3 ,9 ,1 ,1 ,1 ,1 ,28 ,8 ,8 ,0 ,0 ,1 ,1 ,1 ,0 ,19 ,5 ,4 ,16.2 ,0.3 ,-0.92 ,0 
1 ,8 ,1 ,12 ,1 ,1 ,1 ,22 ,14 ,9 ,5 ,0 ,0 ,0 ,1 ,1 ,0 ,24 ,7 ,8 ,13.9 ,-0.3 ,0.79 ,1 
1 ,1 ,1 ,2 ,1 ,1 ,1 ,13 ,14 ,6 ,11 ,1 ,0 ,0 ,1 ,1 ,0 ,19 ,0 ,0 ,15.5 ,2.8 ,-4.06 ,0 
1 ,8 ,4 ,11 ,1 ,1 ,1 ,23 ,27 ,6 ,8 ,1 ,0 ,0 ,1 ,1 ,0 ,18 ,3 ,1 ,12.4 ,0.5 ,1.79 ,0 
1 ,1 ,2 ,15 ,1 ,1 ,1 ,23 ,28 ,10 ,10 ,1 ,0 ,0 ,1 ,1 ,0 ,18 ,6 ,3 ,10.8 ,1.4 ,1.74 ,1 
1 ,8 ,3 ,9 ,1 ,1 ,1 ,13 ,14 ,5 ,8 ,1 ,0 ,1 ,1 ,1 ,0 ,18 ,3 ,3 ,10.8 ,1.4 ,1.74 ,0 
1 ,9 ,4 ,11 ,1 ,1 ,1 ,13 ,27 ,8 ,8 ,1 ,0 ,0 ,1 ,1 ,1 ,21 ,4 ,1 ,9.4 ,-0.8 ,-3.12 ,0 
1 ,8 ,4 ,15 ,1 ,1 ,1 ,1 ,14 ,10 ,9 ,1 ,0 ,1 ,1 ,1 ,1 ,19 ,6 ,6 ,8.9 ,1.4 ,3.51 ,1 
1 ,8 ,4 ,12 ,1 ,1 ,1 ,23 ,27 ,10 ,10 ,0 ,0 ,0 ,1 ,1 ,1 ,22 ,7 ,8 ,16.2 ,0.3 ,-0.92 ,1 
2 ,12 ,1 ,3 ,0 ,1 ,1 ,22 ,27 ,10 ,7 ,0 ,0 ,0 ,1 ,1 ,0 ,33 ,6 ,6 ,10.8 ,1.4 ,1.74 ,1 
1 ,1 ,6 ,16 ,1 ,1 ,1 ,13 ,14 ,10 ,10 ,1 ,0 ,0 ,1 ,1 ,0 ,20 ,5 ,5 ,10.8 ,1.4 ,1.74 ,0 
1 ,12 ,1 ,17 ,0 ,2 ,1 ,3 ,3 ,3 ,3 ,1 ,0 ,0 ,1 ,1 ,0 ,35 ,0 ,0 ,10.8 ,1.4 ,1.74 ,0 
1 ,12 ,1 ,4 ,1 ,4 ,1 ,3 ,3 ,5 ,3 ,0 ,0 ,1 ,1 ,1 ,0 ,24 ,6 ,10 ,12.4 ,0.5 ,1.79 ,0 
2 ,12 ,1 ,3 ,0 ,1 ,1 ,22 ,27 ,10 ,7 ,1 ,0 ,0 ,1 ,0 ,0 ,33 ,6 ,5 ,9.4 ,-0.8 ,-3.12 ,1 
1 ,13 ,1 ,12 ,1 ,1 ,1 ,22 ,28 ,10 ,8 ,1 ,0 ,0 ,1 ,0 ,1 ,22 ,7 ,7 ,10.8 ,1.4 ,1.74 ,1 
1 ,12 ,1 ,14 ,1 ,1 ,1 ,1 ,14 ,5 ,6 ,0 ,0 ,0 ,1 ,0 ,1 ,25 ,4 ,5 ,9.4 ,-0.8 ,-3.12 ,1 
1 ,8 ,1 ,5 ,1 ,1 ,1 ,13 ,28 ,5 ,1 ,1 ,0 ,0 ,1 ,1 ,0 ,20 ,6 ,5 ,7.6 ,2.6 ,0.32 ,1 
1 ,12 ,1 ,12 ,1 ,1 ,1 ,1 ,1 ,5 ,11 ,0 ,0 ,0 ,1 ,1 ,0 ,24 ,0 ,0 ,13.9 ,-0.3 ,0.79 ,0 
2 ,12 ,1 ,16 ,1 ,8 ,1 ,22 ,24 ,1 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,39 ,3 ,0 ,7.6 ,2.6 ,0.32 ,0 
2 ,12 ,1 ,3 ,0 ,1 ,1 ,22 ,14 ,10 ,10 ,0 ,0 ,0 ,1 ,0 ,0 ,44 ,8 ,6 ,12.7 ,3.7 ,-1.70 ,1 
1 ,1 ,5 ,15 ,1 ,1 ,1 ,22 ,1 ,6 ,6 ,1 ,0 ,0 ,1 ,0 ,0 ,18 ,6 ,6 ,8.9 ,1.4 ,3.51 ,1 
1 ,1 ,5 ,12 ,1 ,1 ,1 ,22 ,27 ,8 ,8 ,1 ,0 ,0 ,1 ,0 ,1 ,18 ,7 ,8 ,12.4 ,0.5 ,1.79 ,1 
1 ,1 ,4 ,12 ,1 ,1 ,1 ,3 ,3 ,3 ,3 ,1 ,0 ,1 ,0 ,0 ,0 ,19 ,4 ,0 ,13.9 ,-0.3 ,0.79 ,0 
1 ,17 ,1 ,6 ,1 ,16 ,1 ,23 ,28 ,10 ,10 ,0 ,0 ,0 ,1 ,0 ,0 ,21 ,8 ,5 ,8.9 ,1.4 ,3.51 ,0 
1 ,1 ,4 ,2 ,1 ,1 ,1 ,1 ,1 ,10 ,11 ,1 ,0 ,0 ,1 ,0 ,0 ,20 ,0 ,0 ,16.2 ,0.3 ,-0.92 ,1 
2 ,12 ,1 ,3 ,0 ,1 ,1 ,22 ,27 ,7 ,6 ,1 ,0 ,0 ,1 ,0 ,0 ,36 ,0 ,0 ,9.4 ,-0.8 ,-3.12 ,0 
4 ,12 ,1 ,4 ,1 ,9 ,1 ,22 ,27 ,10 ,7 ,0 ,0 ,0 ,1 ,0 ,0 ,43 ,18 ,13 ,15.5 ,2.8 ,-4.06 ,1 
1 ,9 ,1 ,16 ,1 ,1 ,1 ,13 ,14 ,10 ,8 ,1 ,0 ,0 ,1 ,0 ,0 ,19 ,0 ,0 ,11.1 ,0.6 ,2.02 ,0 
1 ,16 ,1 ,5 ,1 ,1 ,1 ,3 ,1 ,3 ,9 ,0 ,0 ,1 ,1 ,0 ,0 ,20 ,10 ,11 ,11.1 ,0.6 ,2.02 ,1 
1 ,1 ,2 ,10 ,1 ,1 ,1 ,22 ,28 ,5 ,8 ,1 ,0 ,0 ,1 ,0 ,0 ,19 ,0 ,0 ,16.2 ,0.3 ,-0.92 ,0 
1 ,1 ,1 ,6 ,1 ,1 ,1 ,1 ,1 ,5 ,5 ,1 ,0 ,0 ,1 ,0 ,0 ,20 ,4 ,4 ,15.5 ,2.8 ,-4.06 ,0 
1 ,1 ,5 ,12 ,1 ,1 ,1 ,3 ,4 ,5 ,4 ,1 ,0 ,0 ,1 ,0 ,0 ,20 ,6 ,5 ,12.4 ,0.5 ,1.79 ,0 
1 ,1 ,1 ,10 ,1 ,1 ,1 ,22 ,27 ,7 ,8 ,1 ,0 ,0 ,1 ,0 ,0 ,18 ,6 ,6 ,13.9 ,-0.3 ,0.79 ,1 
1 ,1 ,1 ,6 ,1 ,1 ,1 ,13 ,14 ,10 ,10 ,1 ,0 ,0 ,1 ,0 ,0 ,19 ,5 ,5 ,10.8 ,1.4 ,1.74 ,1 
1 ,1 ,3 ,15 ,1 ,1 ,1 ,1 ,28 ,5 ,8 ,1 ,0 ,0 ,1 ,0 ,0 ,18 ,6 ,6 ,10.8 ,1.4 ,1.74 ,1 
1 ,8 ,2 ,12 ,1 ,1 ,1 ,22 ,27 ,10 ,10 ,1 ,0 ,0 ,1 ,0 ,0 ,18 ,6 ,6 ,7.6 ,2.6 ,0.32 ,0 
1 ,1 ,2 ,6 ,1 ,1 ,1 ,22 ,28 ,10 ,8 ,0 ,0 ,0 ,1 ,0 ,0 ,18 ,5 ,5 ,9.4 ,-0.8 ,-3.12 ,1 
1 ,1 ,1 ,9 ,1 ,1 ,1 ,2 ,14 ,5 ,6 ,0 ,0 ,0 ,1 ,0 ,0 ,18 ,5 ,5 ,11.1 ,0.6 ,2.02 ,1 
1 ,8 ,1 ,11 ,1 ,1 ,1 ,1 ,1 ,5 ,6 ,1 ,0 ,0 ,1 ,0 ,0 ,21 ,3 ,2 ,9.4 ,-0.8 ,-3.12 ,0 
1 ,1 ,2 ,9 ,1 ,1 ,1 ,13 ,14 ,10 ,8 ,1 ,0 ,0 ,1 ,0 ,0 ,19 ,5 ,4 ,16.2 ,0.3 ,-0.92 ,1 
1 ,1 ,1 ,2 ,1 ,1 ,1 ,3 ,14 ,3 ,10 ,0 ,0 ,0 ,1 ,0 ,0 ,19 ,0 ,0 ,10.8 ,1.4 ,1.74 ,0 
1 ,1 ,1 ,14 ,1 ,1 ,1 ,23 ,28 ,10 ,10 ,0 ,0 ,0 ,1 ,0 ,1 ,19 ,5 ,5 ,9.4 ,-0.8 ,-3.12 ,1 
1 ,1 ,1 ,6 ,1 ,1 ,1 ,13 ,28 ,5 ,8 ,1 ,0 ,0 ,1 ,0 ,0 ,19 ,6 ,6 ,15.5 ,2.8 ,-4.06 ,1 
1 ,8 ,6 ,13 ,1 ,1 ,1 ,1 ,1 ,5 ,6 ,1 ,0 ,0 ,1 ,0 ,0 ,19 ,5 ,0 ,13.9 ,-0.3 ,0.79 ,0 
1 ,15 ,1 ,6 ,1 ,14 ,1 ,22 ,27 ,10 ,10 ,1 ,0 ,0 ,1 ,0 ,0 ,20 ,6 ,5 ,12.4 ,0.5 ,1.79 ,1 
1 ,8 ,3 ,10 ,1 ,1 ,1 ,1 ,29 ,6 ,4 ,1 ,0 ,0 ,1 ,0 ,0 ,18 ,6 ,6 ,12.4 ,0.5 ,1.79 ,1 
1 ,8 ,6 ,12 ,1 ,1 ,1 ,1 ,27 ,9 ,10 ,1 ,0 ,0 ,1 ,0 ,0 ,19 ,7 ,8 ,12.4 ,0.5 ,1.79 ,1 
1 ,1 ,3 ,12 ,1 ,1 ,1 ,13 ,14 ,6 ,9 ,1 ,0 ,0 ,1 ,0 ,1 ,18 ,7 ,7 ,13.9 ,-0.3 ,0.79 ,0 
1 ,8 ,2 ,5 ,1 ,1 ,1 ,22 ,27 ,10 ,10 ,1 ,0 ,0 ,1 ,0 ,0 ,18 ,6 ,6 ,7.6 ,2.6 ,0.32 ,1 
1 ,1 ,4 ,9 ,1 ,1 ,1 ,1 ,14 ,5 ,9 ,1 ,0 ,0 ,1 ,0 ,0 ,19 ,5 ,5 ,8.9 ,1.4 ,3.51 ,1 
1 ,8 ,6 ,12 ,1 ,1 ,1 ,1 ,14 ,4 ,4 ,1 ,0 ,0 ,1 ,0 ,0 ,19 ,5 ,0 ,13.9 ,-0.3 ,0.79 ,0 
1 ,14 ,1 ,10 ,1 ,1 ,1 ,23 ,27 ,10 ,8 ,0 ,0 ,0 ,1 ,0 ,0 ,20 ,9 ,7 ,7.6 ,2.6 ,0.32 ,1 
1 ,1 ,1 ,14 ,1 ,1 ,1 ,1 ,28 ,4 ,10 ,0 ,0 ,1 ,0 ,0 ,1 ,19 ,5 ,4 ,12.4 ,0.5 ,1.79 ,0 
1 ,8 ,1 ,14 ,1 ,1 ,1 ,13 ,14 ,6 ,6 ,1 ,0 ,0 ,1 ,0 ,0 ,20 ,4 ,4 ,7.6 ,2.6 ,0.32 ,1 
1 ,1 ,1 ,15 ,1 ,1 ,1 ,1 ,1 ,20 ,39 ,0 ,0 ,1 ,1 ,0 ,1 ,18 ,6 ,6 ,8.9 ,1.4 ,3.51 ,1 
1 ,9 ,1 ,12 ,1 ,1 ,1 ,13 ,1 ,5 ,9 ,0 ,0 ,0 ,1 ,0 ,0 ,18 ,7 ,8 ,13.9 ,-0.3 ,0.79 ,1 
1 ,1 ,5 ,12 ,1 ,1 ,1 ,22 ,27 ,10 ,10 ,1 ,0 ,0 ,1 ,0 ,0 ,19 ,6 ,6 ,7.6 ,2.6 ,0.32 ,1 
1 ,1 ,6 ,15 ,1 ,1 ,1 ,13 ,1 ,5 ,5 ,1 ,0 ,0 ,1 ,0 ,1 ,19 ,6 ,5 ,12.4 ,0.5 ,1.79 ,1 
1 ,1 ,3 ,10 ,1 ,1 ,1 ,1 ,10 ,10 ,11 ,1 ,0 ,0 ,1 ,0 ,1 ,19 ,6 ,6 ,12.4 ,0.5 ,1.79 ,1 
1 ,1 ,3 ,12 ,1 ,1 ,1 ,13 ,14 ,10 ,8 ,1 ,0 ,0 ,1 ,0 ,1 ,19 ,7 ,8 ,15.5 ,2.8 ,-4.06 ,1 
1 ,8 ,5 ,16 ,1 ,1 ,1 ,22 ,28 ,6 ,7 ,1 ,0 ,0 ,1 ,0 ,1 ,19 ,5 ,5 ,9.4 ,-0.8 ,-3.12 ,1 
1 ,1 ,4 ,11 ,1 ,1 ,1 ,10 ,14 ,10 ,10 ,1 ,0 ,0 ,1 ,0 ,0 ,19 ,0 ,0 ,7.6 ,2.6 ,0.32 ,0 
1 ,8 ,1 ,11 ,1 ,1 ,1 ,1 ,27 ,10 ,11 ,1 ,0 ,0 ,1 ,0 ,0 ,20 ,5 ,3 ,7.6 ,2.6 ,0.32 ,0 
1 ,1 ,1 ,9 ,1 ,1 ,1 ,3 ,14 ,3 ,11 ,0 ,0 ,0 ,1 ,0 ,0 ,18 ,5 ,5 ,13.9 ,-0.3 ,0.79 ,1 
1 ,1 ,1 ,12 ,1 ,1 ,1 ,1 ,14 ,10 ,10 ,0 ,0 ,0 ,1 ,0 ,1 ,20 ,6 ,7 ,11.1 ,0.6 ,2.02 ,1 
1 ,1 ,1 ,6 ,1 ,1 ,1 ,1 ,28 ,5 ,8 ,0 ,0 ,0 ,1 ,0 ,0 ,19 ,5 ,5 ,7.6 ,2.6 ,0.32 ,1 
1 ,1 ,1 ,16 ,1 ,1 ,1 ,22 ,27 ,10 ,10 ,1 ,0 ,0 ,1 ,0 ,0 ,18 ,6 ,5 ,7.6 ,2.6 ,0.32 ,1 
1 ,14 ,1 ,16 ,1 ,1 ,1 ,3 ,27 ,3 ,6 ,1 ,0 ,0 ,1 ,0 ,0 ,21 ,3 ,3 ,9.4 ,-0.8 ,-3.12 ,0 
1 ,1 ,1 ,16 ,1 ,1 ,1 ,23 ,27 ,7 ,7 ,0 ,0 ,0 ,1 ,0 ,0 ,19 ,6 ,4 ,7.6 ,2.6 ,0.32 ,0 
1 ,1 ,1 ,9 ,1 ,1 ,1 ,23 ,28 ,10 ,10 ,0 ,0 ,0 ,1 ,0 ,1 ,18 ,5 ,5 ,12.4 ,0.5 ,1.79 ,1 
1 ,8 ,2 ,10 ,1 ,1 ,1 ,1 ,27 ,8 ,10 ,1 ,0 ,0 ,1 ,0 ,1 ,18 ,6 ,6 ,12.7 ,3.7 ,-1.70 ,1 
1 ,1 ,3 ,10 ,1 ,1 ,1 ,13 ,1 ,10 ,11 ,1 ,0 ,0 ,1 ,0 ,0 ,20 ,4 ,6 ,9.4 ,-0.8 ,-3.12 ,1 
1 ,12 ,1 ,3 ,0 ,1 ,1 ,1 ,14 ,7 ,9 ,0 ,0 ,0 ,1 ,0 ,1 ,24 ,5 ,5 ,11.1 ,0.6 ,2.02 ,1 
1 ,1 ,1 ,14 ,1 ,1 ,1 ,13 ,1 ,5 ,2 ,0 ,0 ,0 ,1 ,0 ,0 ,19 ,6 ,6 ,10.8 ,1.4 ,1.74 ,0 
1 ,1 ,1 ,12 ,1 ,1 ,1 ,13 ,27 ,10 ,8 ,1 ,0 ,0 ,1 ,0 ,1 ,18 ,7 ,7 ,15.5 ,2.8 ,-4.06 ,1 
1 ,1 ,2 ,12 ,1 ,1 ,1 ,13 ,14 ,10 ,10 ,1 ,0 ,0 ,1 ,0 ,0 ,18 ,7 ,8 ,15.5 ,2.8 ,-4.06 ,1 
1 ,8 ,5 ,16 ,1 ,1 ,1 ,10 ,10 ,5 ,5 ,1 ,0 ,0 ,1 ,0 ,0 ,21 ,4 ,3 ,10.8 ,1.4 ,1.74 ,0 
1 ,8 ,2 ,14 ,1 ,1 ,1 ,1 ,14 ,6 ,5 ,0 ,0 ,0 ,1 ,0 ,0 ,19 ,5 ,5 ,7.6 ,2.6 ,0.32 ,1 
1 ,8 ,1 ,15 ,1 ,1 ,1 ,13 ,27 ,8 ,8 ,0 ,0 ,0 ,1 ,0 ,1 ,19 ,6 ,6 ,15.5 ,2.8 ,-4.06 ,1 
1 ,8 ,3 ,10 ,1 ,1 ,1 ,13 ,14 ,8 ,9 ,0 ,0 ,0 ,1 ,0 ,0 ,19 ,5 ,4 ,13.9 ,-0.3 ,0.79 ,1 
1 ,12 ,1 ,12 ,1 ,3 ,1 ,2 ,2 ,2 ,2 ,0 ,0 ,0 ,1 ,0 ,0 ,29 ,7 ,7 ,12.7 ,3.7 ,-1.70 ,1 
1 ,14 ,1 ,10 ,1 ,1 ,1 ,13 ,14 ,5 ,9 ,1 ,0 ,0 ,1 ,0 ,0 ,21 ,3 ,2 ,16.2 ,0.3 ,-0.92 ,0 
1 ,8 ,2 ,13 ,1 ,1 ,1 ,22 ,27 ,4 ,11 ,0 ,0 ,0 ,1 ,0 ,0 ,20 ,7 ,8 ,15.5 ,2.8 ,-4.06 ,1 
1 ,8 ,1 ,12 ,1 ,1 ,1 ,2 ,28 ,5 ,6 ,1 ,0 ,0 ,1 ,0 ,0 ,19 ,6 ,6 ,7.6 ,2.6 ,0.32 ,1 
